Photon;Incoher.;Photoel.;;total
Energy;Scatter.;Absorb.;Pair prod;crosssection
;;;;
0.001;0.005916;7794;0;7794.005916
0.001035;0.006244;7245;0;7245.006244
0.001072;0.006586;6736;0;6736.006586
0.001072;0.006587;7924;0;7924.006587
0.0015;0.01065;3801;0;3801.01065
0.002;0.01541;1917;0;1917.01541
0.003;0.02459;700.3;0;700.32459
0.004;0.03292;335.1;0;335.13292
0.004557;0.03712;238.7;0;238.73712
0.004557;0.03712;658.5;0;658.53712
0.004702;0.03816;616.6;0;616.63816
0.004852;0.03923;577.4;0;577.43923
0.004852;0.03923;771.9;0;771.93923
0.005;0.04026;727.7;0;727.74026
0.005188;0.04155;661.1;0;661.14155
0.005188;0.04155;760.4;0;760.44155
0.006;0.04679;529.7;0;529.74679
0.008;0.05799;248.9;0;248.95799
0.01;0.06731;137.5;0;137.56731
0.015;0.0841;45.7;0;45.7841
0.02;0.09463;20.62;0;20.71463
0.03;0.1067;6.607;0;6.7137
0.03317;0.109;4.972;0;5.081
0.03317;0.109;29.76;0;29.869
0.04;0.1127;18.24;0;18.3527
0.05;0.1157;10.06;0;10.1757
0.06;0.1169;6.111;0;6.2279
0.08;0.1165;2.746;0;2.8625
0.1;0.1144;1.462;0;1.5764
0.15;0.1071;0.4592;0;0.5663
0.2;0.1;0.2019;0;0.3019
0.3;0.0886;0.06481;0;0.15341
0.4;0.08009;0.02987;0;0.10996
0.5;0.07351;0.01684;0;0.09035
0.6;0.06822;0.01079;0;0.07901
0.8;0.06012;0.005588;0;0.065708
1;0.05413;0.003491;0;0.057621
1.022;0.05355;0.003323;0;0.056873
1.25;0.04846;0.00224;0.0001634;0.0508634
1.5;0.04407;0.001604;0.0007594;0.0464334
2;0.03764;0.0009761;0.002575;0.0411911
2.044;0.03717;0.0009415;0.002751;0.0408625
3;0.02963;0.0005178;0.00652836;0.03667616
4;0.02472;0.0003428;0.01005228;0.03511508
5;0.02135;0.0002535;0.01311417;0.03471767
6;0.01887;0.0002;0.0157591;0.0348291
7;0.01697;0.0001647;0.0181239;0.0352586
8;0.01544;0.0001398;0.0202573;0.0358371
9;0.0142;0.0001212;0.0221889;0.0365101
10;0.01315;0.0001069;0.0239583;0.0372152
11;0.01227;0.00009565;0.0255956;0.03796125
12;0.0115;0.00008648;0.0271008;0.03868728
13;0.01084;0.00007888;0.028514;0.03943288
14;0.01025;0.00007249;0.0298055;0.04012799
15;0.009737;0.00006706;0.0310054;0.04080946
16;0.009271;0.0000624;0.0321239;0.0414573
18;0.008471;0.00005472;0.0341662;0.04269192
20;0.007811;0.00004873;0.0359942;0.04385393
